batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
41355,2S,EE,Perugia,Left,20.0,20.0,5.51
41355,2S,WW,Perugia,Left,20.0,20.0,5.634
41356,2S,EE,Demokritos,Left,21.7,21.7,6.565
41356,2S,WW,Demokritos,Left,21.6,21.6,6.559
41356,2S,EE,Demokritos,Left,22.0,22.0,7.28
41356,2S,WW,Demokritos,Left,21.6,21.6,7.169
41356,2S,EE,Demokritos,Left,21.4,21.4,7.189
41356,2S,WW,Demokritos,Left,23.3,23.3,7.504
41357,2S,EE,Demokritos,Left,21.2,21.2,7.565
41357,2S,WW,Demokritos,Left,21.1,21.1,7.51
41357,2S,EE,Demokritos,Left,20.9,20.9,6.911
41357,2S,WW,Demokritos,Left,20.8,20.8,6.888
41357,2S,EE,Demokritos,Left,20.8,20.8,6.875
41357,2S,WW,Demokritos,Left,20.7,20.7,7.025
41730,2S,EE,Demokritos,Left,21.7,21.7,9.874
41730,2S,WW,Demokritos,Left,20.6,20.6,8.847
41730,2S,EE,Demokritos,Left,22.0,22.0,10.458
41730,2S,WW,Demokritos,Left,21.8,21.8,10.027
41730,2S,EE,Demokritos,Left,21.1,21.1,9.562
41730,2S,WW,Demokritos,Left,21.2,21.2,9.451
41731,2S,EE,Demokritos,Left,21.4,21.4,6.688
41731,2S,WW,Demokritos,Left,21.4,21.4,6.716
41731,2S,EE,Demokritos,Left,24.5,24.5,9.422
41731,2S,WW,Demokritos,Left,23.9,23.9,9.083
41732,2S,EE,Demokritos,Left,24.3,24.3,10.715
41732,2S,WW,Demokritos,Left,23.8,23.8,10.437
41732,2S,EE,Demokritos,Left,23.4,23.4,9.55
41732,2S,WW,Demokritos,Left,23.1,23.1,9.164
41732,2S,EE,Demokritos,Left,22.8,22.8,9.083
41732,2S,WW,Demokritos,Left,22.6,22.6,8.809
41736,2S,EE,Perugia,Left,20.0,20.0,6.228
41736,2S,WW,Perugia,Left,20.0,20.0,6.139
41736,2S,EE,Perugia,Left,20.0,20.0,5.51
41736,2S,WW,Perugia,Left,20.0,20.0,5.407
41736,2S,EE,Perugia,Left,20.0,20.0,6.596
41736,2S,WW,Perugia,Left,20.0,20.0,5.932
41737,2S,EE,Perugia,Left,20.0,20.0,5.972
41737,2S,WW,Perugia,Left,20.0,20.0,5.815
41737,2S,EE,Perugia,Left,20.0,20.0,6.211
41737,2S,WW,Perugia,Left,20.0,20.0,6.125
41737,2S,EE,Perugia,Left,20.0,20.0,5.624
41737,2S,WW,Perugia,Left,20.0,20.0,5.455
41737,2S,EE,Perugia,Left,20.0,20.0,5.817
41737,2S,WW,Perugia,Left,20.0,20.0,5.68
41738,2S,EE,Perugia,Left,20.0,20.0,6.411
41738,2S,WW,Perugia,Left,20.0,20.0,6.45
41738,2S,EE,Perugia,Left,20.0,20.0,6.01
41738,2S,WW,Perugia,Left,20.0,20.0,5.991
41738,2S,EE,Perugia,Left,20.0,20.0,6.133
41738,2S,WW,Perugia,Left,20.0,20.0,6.068
41739,2S,EE,Perugia,Left,20.0,20.0,5.996
41739,2S,WW,Perugia,Left,20.0,20.0,5.871
41739,2S,EE,Perugia,Left,20.0,20.0,5.559
41739,2S,WW,Perugia,Left,20.0,20.0,5.432
41739,2S,EE,Perugia,Left,20.0,20.0,5.669
41739,2S,WW,Perugia,Left,20.0,20.0,5.522
39563,PSS,EE,Brown,Right,20.0,20.038,4.737
39563,PSS,WW,Brown,Right,20.0,20.108,5.051
39563,PSS,EE,Brown,Right,20.0,20.156,5.076
39563,PSS,WW,Brown,Right,20.0,20.051,5.306
39563,PSS,EE,Brown,Right,20.0,20.019,4.585
39563,PSS,WW,Brown,Right,20.0,20.037,4.701
39563,PSS,EE,Brown,Right,20.0,20.067,4.503
39563,PSS,WW,Brown,Right,20.0,20.023,4.981
41727,PSS,EE,Brown,Right,20.0,20.017,4.409
