batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
36795,2S,WW,Brown,Right,20.0,20.032,0.477725
36795,2S,EE,Brown,Right,20.0,20.062,0.424976
36795,2S,WW,Brown,Right,20.0,20.067,0.481332
36795,2S,EE,Brown,Right,20.0,20.056,0.503763
36795,2S,WW,Brown,Right,20.0,20.052,0.476806
36795,2S,EE,Brown,Right,20.0,20.087,0.492439
36795,2S,WW,Brown,Right,20.0,20.092,0.474404
36796,2S,EE,Brown,Right,20.0,20.013,0.436211
36796,2S,WW,Brown,Right,20.0,20.178,0.08798600000000001
36796,2S,EE,Brown,Right,20.0,20.06,0.477852
36796,2S,WW,Brown,Right,20.0,20.071,0.491859
36796,2S,EE,Brown,Right,20.0,20.078,0.414275
36796,2S,WW,Brown,Right,20.0,20.055,0.069052
36796,2S,EE,Brown,Right,20.0,20.097,0.388109
36796,2S,WW,Brown,Right,20.0,20.086,0.458647
36796,2S,EE,Brown,Right,20.0,20.047,0.542632
36796,2S,WW,Brown,Right,20.0,20.033,0.570905
36796,2S,EE,Brown,Right,20.0,20.033,0.441368
36796,2S,WW,Brown,Right,20.0,20.041,0.310273
36796,2S,EE,Brown,Right,20.0,20.062,0.429205
36796,2S,WW,Brown,Right,20.0,20.064,0.5363110000000001
36796,2S,EE,Brown,Right,20.0,20.059,0.519212
36796,2S,WW,Brown,Right,20.0,20.069,0.487073
36797,2S,EE,Brown,Right,20.0,20.175,0.119518
36797,2S,WW,Brown,Right,20.0,20.031,0.310923
36797,2S,EE,Brown,Right,20.0,20.038,0.10440600000000001
36797,2S,WW,Brown,Right,20.0,20.027,0.339258
36797,2S,EE,Brown,Right,20.0,20.056,0.084449
36797,2S,WW,Brown,Right,20.0,20.048,0.303053
36797,2S,EE,Brown,Right,20.0,20.031,0.378302
36797,2S,WW,Brown,Right,20.0,20.035,0.376508
