batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
36803,2-S,668.173,HEPHY,Left
36803,2-S,668.173,HEPHY,Left
36803,2-S,672.541,HEPHY,Left
36803,2-S,672.541,HEPHY,Left
37079,2-S,663.09,HEPHY,Left
37079,2-S,670.582,HEPHY,Left
37079,2-S,659.5419999999999,HEPHY,Left
37079,2-S,666.291,HEPHY,Left
37079,2-S,663.125,HEPHY,Left
37079,2-S,665.923,HEPHY,Left
37079,2-S,658.85,HEPHY,Left
37079,2-S,664.788,HEPHY,Left
37079,2-S,660.693,HEPHY,Left
37079,2-S,661.0060000000001,HEPHY,Left
37079,2-S,666.133,HEPHY,Left
37079,2-S,665.4110000000001,HEPHY,Left
37079,2-S,658.709,HEPHY,Left
37079,2-S,661.309,HEPHY,Left
37079,2-S,680.826,HEPHY,Left
37079,2-S,663.039,HEPHY,Left
37081,2-S,670.8939999999999,HEPHY,Left
37081,2-S,682.285,HEPHY,Left
37081,2-S,671.2739999999999,HEPHY,Left
37081,2-S,680.673,HEPHY,Left
37081,2-S,672.971,HEPHY,Left
37081,2-S,680.2660000000001,HEPHY,Left
37081,2-S,668.7239999999999,HEPHY,Left
37081,2-S,680.924,HEPHY,Left
37081,2-S,669.821,HEPHY,Left
37081,2-S,678.081,HEPHY,Left
37081,2-S,667.828,HEPHY,Left
37081,2-S,765.5930000000001,HEPHY,Left
37081,2-S,668.054,HEPHY,Left
37081,2-S,675.153,HEPHY,Left
37081,2-S,666.7439999999999,HEPHY,Left
37081,2-S,768.967,HEPHY,Left
37081,2-S,666.561,HEPHY,Left
37081,2-S,676.1519999999999,HEPHY,Left
37081,2-S,665.466,HEPHY,Left
37081,2-S,681.4019999999999,HEPHY,Left
37087,2-S,672.541,Brown,Right
37087,2-S,663.928,Brown,Right
37087,2-S,677.4910000000001,Brown,Right
